date,state,city,full_suspects,full_cases,full_deaths
2020-02-28,RN,Natal,5,0,0
2020-02-28,RN,Parnamirim,1,0,0
2020-03-02,RN,Natal,4,0,0
2020-03-02,RN,Parnamirim,1,0,0
2020-03-03,RN,Natal,3,0,0
2020-03-03,RN,Parnamirim,1,0,0
2020-03-05,RN,Natal,2,0,0
2020-03-05,RN,Parnamirim,2,0,0
2020-03-06,RN,Natal,3,0,0
2020-03-06,RN,Parnamirim,1,0,0
2020-03-11,RN,Frutuoso Gomes,1,0,0
2020-03-11,RN,Mossoró,2,0,0
2020-03-11,RN,Natal,8,0,0
2020-03-11,RN,Parnamirim,2,0,0
2020-03-13,RN,Goianinha,1,0,0
2020-03-13,RN,Frutuoso Gomes,1,0,0
2020-03-13,RN,Mossoró,2,0,0
2020-03-13,RN,Natal,9,0,0
2020-03-13,RN,Parnamirim,4,0,0
2020-03-16,RN,Nísia Floresta,2,0,0
2020-03-16,RN,Frutuoso Gomes,1,0,0
2020-03-16,RN,Mossoró,3,0,0
2020-03-16,RN,Natal,20,1,0
2020-03-16,RN,Parnamirim,5,0,0
2020-03-16,RN,Tibau do Sul,1,0,0
2020-03-18,RN,Angicos,1,0,0
2020-03-18,RN,Ceará Mirim,1,0,0
2020-03-18,RN,Frutuoso Gomes,1,0,0
2020-03-18,RN,Mossoró,5,0,0
2020-03-18,RN,Natal,47,1,0
2020-03-18,RN,Nísia Floresta,2,0,0
2020-03-18,RN,Parnamirim,13,0,0
2020-03-18,RN,Pendências,1,0,0
2020-03-18,RN,Santa Cruz,2,0,0
2020-03-18,RN,São Miguel do Gostoso,1,0,0
2020-03-18,RN,Tibau do Sul,1,0,0
2020-03-20,RN,Angicos,1,0,0
2020-03-20,RN,Areia Branca,1,0,0
2020-03-20,RN,Baía Formosa,1,0,0
2020-03-20,RN,Caicó,1,0,0
2020-03-20,RN,Ceará Mirim,1,0,0
2020-03-20,RN,Doutor Severiano,1,0,0
2020-03-20,RN,Parnamirim,16,0,0
2020-03-20,RN,Extremoz,1,0,0
2020-03-20,RN,Frutuoso Gomes,1,0,0
2020-03-20,RN,Goianinha,1,0,0
2020-03-20,RN,Guamaré,3,0,0
2020-03-20,RN,João Câmara,1,0,0
2020-03-20,RN,Lagoa d'Anta,1,0,0
2020-03-20,RN,Macaíba,2,0,0
2020-03-20,RN,Mossoró,14,0,0
2020-03-20,RN,Natal,73,1,0
2020-03-20,RN,Nísia Floresta,3,0,0
2020-03-20,RN,Tibau,2,0,0
2020-03-20,RN,Santa Cruz,2,0,0
2020-03-20,RN,São Fernando,1,0,0
2020-03-20,RN,São Gonçalo do Amarante,2,0,0
2020-03-20,RN,São Miguel do Gostoso,1,0,0
2020-03-20,RN,Tibau do Sul,1,0,0
2020-03-22,RN,Açu,6,0,0
2020-03-22,RN,Angicos,1,0,0
2020-03-22,RN,Areia Branca,1,0,0
2020-03-22,RN,Augusto Severo,1,0,0
2020-03-22,RN,Baía Formosa,1,0,0
2020-03-22,RN,Barcelona,2,0,0
2020-03-22,RN,Baraúna,2,0,0
2020-03-22,RN,Brejinho,2,0,0
2020-03-22,RN,Canguaretama,1,0,0
2020-03-22,RN,Caicó,1,0,0
2020-03-22,RN,Carnaúbas,1,0,0
2020-03-22,RN,Ceará Mirim,2,0,0
2020-03-22,RN,Doutor Severiano,1,0,0
2020-03-22,RN,Parnamirim,15,3,0
2020-03-22,RN,Espírito Santo,1,0,0
2020-03-22,RN,Extremoz,2,0,0
2020-03-22,RN,Florânia,1,0,0
2020-03-22,RN,Frutuoso Gomes,1,0,0
2020-03-22,RN,Goianinha,1,0,0
2020-03-22,RN,Guamaré,3,0,0
2020-03-22,RN,Jardim do Seridó,1,0,0
2020-03-22,RN,João Câmara,1,0,0
2020-03-22,RN,Jundiaí,2,0,0
2020-03-22,RN,Macaíba,2,0,0
2020-03-22,RN,Macau,1,0,0
2020-03-22,RN,Monte Alegre,1,0,0
2020-03-22,RN,Mossoró,59,1,0
2020-03-22,RN,Natal,120,9,0
2020-03-22,RN,Nísia Floresta,3,0,0
2020-03-22,RN,Nova Cruz,1,0,0
2020-03-22,RN,Parelhas,2,0,0
2020-03-22,RN,Rio do Fogo,3,0,0
2020-03-22,RN,Patu,2,0,0
2020-03-22,RN,Santa Maria,1,0,0
2020-03-22,RN,Tibau,3,0,0
2020-03-22,RN,Ruy Barbosa,1,0,0
2020-03-22,RN,Santa Cruz,2,0,0
2020-03-22,RN,São Fernando,1,0,0
2020-03-22,RN,São Gonçalo do Amarante,4,0,0
2020-03-22,RN,São José do Mipibu,4,0,0
2020-03-22,RN,São Miguel do Gostoso,1,0,0
2020-03-22,RN,Tibau do Sul,1,0,0